index	CTD_id	UMLS_CUI	type	
0	C041464	C0073792	chemical
1	D009840	C0028951	chemical
2	C084813	C0033495	chemical
3	D000470	C0002062	chemical
4	C078793	C0211684	chemical
5	C515440	C1869159	chemical
6	C008667	C0068957	chemical
7	C509783	C0283130	chemical
8	D006241	C0018593	chemical
9	C438724	C1098736	chemical
10	C059764	C0051571	chemical
11	C524539	C2000769	chemical
12	C094385	C0299223	chemical
13	C116017	C1176485	chemical
14	C107199	C0663725	chemical
15	C009006	C0071774	chemical
16	C027870	C0053337	chemical
17	D002047	C0006405	chemical
18	C020796	C0072236	chemical
19	C111827	C0673966	chemical
20	C039979	C0066624	chemical
21	D000069557	C0937916	chemical
22	D001418	C0004609	chemical
23	C079574	C0213165	chemical
24	C008671	C0068972	chemical
25	D013578	C0039086	chemical
26	D000728	C0002844	chemical
27	C110453	C0670956	chemical
28	C528561	C2975395	chemical
29	C545733	C2744217	chemical
30	C005151	C0076522	chemical
31	D000942	C0003321	chemical
32	C545357	C2742029	chemical
33	C036088	C0056438	chemical
34	D014290	C0041030	chemical
35	D011726	C0034256	chemical
36	C497852	C1566866	chemical
37	C571759	C3491856	chemical
38	D009428	C0027780	chemical
39	C018176	C0054222	chemical
40	D000077595	C0209227	chemical
41	D000069605	C0771892	chemical
42	C033006	C0075491	chemical
43	C065046	C0094793	chemical
44	C502525	C1610768	chemical
45	D008732	C0025687	chemical
46	D018684	C0242901	chemical
47	C042377	C0045958	chemical
48	C021279	C1256547	chemical
49	D001615	C0005210	chemical
50	C058076	C1700414	chemical
51	C005451	C0051459	chemical
52	D053590	C1704264	chemical
53	C530084	C2355046	chemical
54	D002066	C0006463	chemical
55	C092280	C0294794	chemical
56	C039242	C0112408	chemical
57	C022959	C0068982	chemical
58	C112040	C0674444	chemical
59	C499879	C2004014	chemical
60	D008635	C0025460	chemical
61	D044946	C1257966	chemical
62	C044946	C0053091	chemical
63	D005015	C0015051	chemical
64	C114459	C0757451	chemical
65	D014343	C0041213	chemical
66	C056299	C0634084	chemical
67	C068373	C0287041	chemical
68	C010722	C0069173	chemical
69	D011136	C0032602	chemical
70	C412944	C0960597	chemical
71	D014266	C0040976	chemical
72	C024293	C0071989	chemical
73	D008090	C0023863	chemical
74	C010637	C0076126	chemical
75	C042957	C0073477	chemical
76	C518786	C1869843	chemical
77	C046196	C0052616	chemical
78	C060956	C0048948	chemical
79	C008570	C1445822	chemical
80	C477694	C1311971	chemical
81	C023027	C0066249	chemical
82	D002801	C0008428	chemical
83	D003077	C0009255	chemical
84	C043345	C0064263	chemical
85	C040871	C0284779	chemical
86	C119615	C1881129	chemical
87	D000894	C0003211	chemical
88	C121718	C0909419	chemical
89	C068874	C0677667	chemical
90	D010417	C0030858	chemical
91	D015080	C0000294	chemical
92	C542398	C2717395	chemical
93	C021751	C0075810	chemical
94	C108128	C0754647	chemical
95	C532657	C2607158	chemical
96	C522391	C2001941	chemical
97	C040463	C0525890	chemical
98	D043168	C0290149	chemical
99	C032175	C0005023	chemical
100	C489645	C1506213	chemical
101	C562247	C3251934	chemical
102	C102714	C0532362	chemical
103	C493870	C1664205	chemical
104	C015586	C0138666	chemical
105	D002509	C0007727	chemical
106	C047762	C0626374	chemical
107	C022990	C0055617	chemical
108	D006859	C0020275	chemical
109	C027309	C0046928	chemical
110	C025280	C0077042	chemical
111	C085665	C0251504	chemical
112	C023035	C0046929	chemical
113	D013853	C0039872	chemical
114	D007736	C0022816	chemical
115	C464603	C1142977	chemical
116	D008710	C0025639	chemical
117	C000608435	C4276755	chemical
118	D001498	C1455839	chemical
119	C017435	C0063371	chemical
120	D006397	C0018928	chemical
121	D000077271	C0165032	chemical
122	D013774	C0039694	chemical
123	D000077288	C0245514	chemical
124	C038628	C0060394	chemical
125	C053268	C0055011	chemical
126	C000620717	C4507708	chemical
127	D010952	C0032121	chemical
128	C077580	C0654864	chemical
129	C100057	C0051569	chemical
130	D017829	C0061863	chemical
131	C095285	C1870115	chemical
132	D013875	C0039928	chemical
133	C053539	C0164815	chemical
134	D061466	C0674432	chemical
135	C557885	C3180968	chemical
136	C035185	C0053683	chemical
137	C007829	C0102138	chemical
138	C500026	C3853822	chemical
139	C476326	C1310760	chemical
140	D010476	C0031000	chemical
141	C008664	C0132768	chemical
142	C054974	C0060409	chemical
143	C099565	C0389836	chemical
144	C054132	C0081653	chemical
145	C097285	C0384994	chemical
146	C072593	C0717761	chemical
147	C047766	C0052944	chemical
148	D019888	C0525005	chemical
149	C569115	C3253537	chemical
150	C516322	C1872697	chemical
151	C015559	C0077151	chemical
152	C108242	C0665974	chemical
153	C014174	C0072564	chemical
154	D015104	C0000379	chemical
155	D008898	C0026153	chemical
156	C012153	C0099559	chemical
157	D007190	C0021186	chemical
158	D008735	C0000589	chemical
159	C053708	C0055713	chemical
160	C031233	C0376892	chemical
161	C514713	C1744114	chemical
162	C001335	C0062602	chemical
163	C042228	C0067301	chemical
164	C051054	C0052791	chemical
165	C038068	C0056686	chemical
166	C028653	C0046193	chemical
167	C448299	C1120653	chemical
168	C516714	C1869761	chemical
169	C121153	C0908688	chemical
170	C058219	C0063298	chemical
171	C035458	C0076184	chemical
172	D019826	C0055568	chemical
173	D017308	C0059865	chemical
174	C010882	C0055361	chemical
175	C027172	C0771562	chemical
176	C533734	C2606048	chemical
177	D005942	C0017714	chemical
178	D009539	C0028049	chemical
179	C079315	C0212660	chemical
180	C043215	C0145918	chemical
181	C118539	C0766057	chemical
182	C061363	C0052585	chemical
183	C523364	C2002594	chemical
184	C061957	C0286382	chemical
185	D015149	C0040349	chemical
186	C062766	C0077782	chemical
187	C009746	C0059869	chemical
188	C054871	C0063828	chemical
189	C063836	C0084745	chemical
190	D004100	C0012328	chemical
191	C487056	C1452654	chemical
192	D007220	C0021265	chemical
193	D007792	C0022957	chemical
194	C005059	C0064044	chemical
195	C107067	C0541174	chemical
196	C402343	C0879444	chemical
197	D011758	C0034325	chemical
198	D003436	C0010372	chemical
199	C054649	C0094855	chemical
200	C404768	C0912586	chemical
201	C011825	C0060580	chemical
202	C545235	C2742423	chemical
203	C477819	C1312096	chemical
204	C028044	C0051001	chemical
205	C543063	C2741982	chemical
206	C031621	C0060276	chemical
207	D005732	C0017082	chemical
208	C520026	C1957300	chemical
209	C055085	C0065767	chemical
210	C469416	C1172744	chemical
211	C035988	C0072063	chemical
212	C095108	C0754188	chemical
213	D004097	C0012319	chemical
214	C007168	C0056648	chemical
215	C091375	C0292873	chemical
216	C010005	C0067768	chemical
217	C001205	C0700599	chemical
218	C554292	C2976165	chemical
219	C002771	C0069484	chemical
220	C477246	C1311572	chemical
221	D011847	C0034549	chemical
222	D011112	C0032535	chemical
223	C005310	C0068986	chemical
224	C484885	C1451121	chemical
225	C054527	C0046560	chemical
226	C068073	C0102885	chemical
227	D010590	C0031312	chemical
228	C433788	C0969096	chemical
229	C023455	C0163411	chemical
230	C080344	C0214582	chemical
231	D001977	C0006246	chemical
232	D061267	C1708521	chemical
233	C010770	C0072522	chemical
234	C032707	C0055404	chemical
235	C048081	C0053336	chemical
236	D008801	C0025887	chemical
237	C016845	C0073930	chemical
238	C034734	C0074174	chemical
239	D017438	C0053749	chemical
240	C099414	C0389508	chemical
241	D013196	C0038148	chemical
242	C047975	C0056670	chemical
243	C477270	C1311597	chemical
