index	term_id
0	51008
1	14080
2	86924
3	35503
4	49897
5	51313
6	26269
7	59342
8	27547
9	18881
10	28654
11	47272
12	19064
13	11988
14	14415
15	15584
16	21424
17	7231
18	52145
19	52660
20	145625
21	33093
22	28472
23	21958
24	56441
25	46954
26	62531
27	27173
28	36570
29	52210
30	15561
31	37093
32	3623
33	50154
34	67853
35	38959
36	68409
37	17392
38	20026
39	33914
40	21824
41	13048
42	25114
43	29366
44	7997
45	20196
46	7564
47	31189
48	13839
49	36121
50	30889
51	18463
52	51103
53	2920
54	1917610
55	15920
56	6895
57	13532
58	39167
59	27288
60	7458
61	35497
62	12847
63	31103
64	15134
65	36895
66	6966
67	827280
68	26182
69	23297
70	43870
71	899474
72	18302
73	6862
74	14967
75	4850
76	29066
77	9075
78	47974
79	27546
80	7369
81	43214
82	38367
83	32269
84	35420
85	21616
86	39180
87	9400
88	35567
89	37641
90	42275
91	31049
92	32781
93	47090
94	6736
95	39230
96	6887
97	10448
98	30088
99	47612
100	13497
101	12100
102	33315
103	25214
104	42721
105	51506
106	30753
107	54652
108	34943
109	19186
110	41017
111	15515
112	17976
113	43820
114	40923
115	38360
116	13452
117	15070
118	12650
119	35036
120	48577
121	46095
122	56569
123	41515
124	40944
125	53919
126	11523
127	28515
128	25017
129	10004
130	38190
131	79584
132	59984
133	53035
134	45580
135	43792
136	19604
137	19398
138	29102
139	47113
140	30787
141	101601
142	38003
143	34392
144	20711
145	39194
146	31546
147	13303
148	44879
149	51301
150	27604
151	33486
152	62042
153	29093
154	16212
155	32613
156	41122
157	28342
158	65558
159	40981
160	29633
161	3988
162	35529
163	24599
164	8193
165	11794
166	30583
167	34251
168	9073
169	39371
170	44010
171	4915
172	106452
173	47117
174	116875
175	37294
176	40788
177	16045
178	27998
179	47841
180	57602
181	20372
182	16131
183	19906
184	40842
185	85431
186	93052
187	19584
188	44168
189	51704
190	27788
191	44147
192	39281
193	10332
194	46204
195	41595
196	23737
197	98395
198	74801
199	24665
200	14944
201	39166
202	39774
203	33330
204	10834
205	29191
206	8399
