index	DrugBank_id
0	DB01198
1	DB00028
2	DB01144
3	DB00668
4	DB04897
5	DB01113
6	DB01369
7	DB00769
8	DB06699
9	DB04864
10	DB04830
11	DB01204
12	DB00910
13	DB05578
14	DB01283
15	DB08824
16	DB00070
17	DB09029
18	DB00216
19	DB00713
20	DB00499
21	DB01216
22	DB09283
23	DB01044
24	DB09499
25	DB04124
26	DB01363
27	DB00220
28	DB01090
29	DB06423
30	DB06287
31	DB01010
32	DB00605
33	DB09335
34	DB01077
35	DB00043
36	DB04786
37	DB01226
38	DB00539
39	DB00419
40	DB00366
41	DB01397
42	DB00937
43	DB03880
44	DB00034
45	DB00001
46	DB06403
47	DB00628
48	DB06733
49	DB00855
50	DB00381
51	DB01024
52	DB00551
53	DB01101
54	DB00887
55	DB06510
56	DB00513
57	DB09096
58	DB00150
59	DB11476
60	DB02285
61	DB01270
62	DB09290
63	DB00800
64	DB02962
65	DB08838
66	DB11444
67	DB00219
68	DB11473
69	DB06436
70	DB01032
71	DB01576
72	DB00979
73	DB00189
74	DB06196
75	DB06235
76	DB00374
77	DB09570
78	DB09097
79	DB00783
80	DB00830
81	DB09021
82	DB00920
83	DB06680
84	DB06737
85	DB05259
86	DB08881
87	DB01132
88	DB00304
89	DB00420
90	DB01332
91	DB00533
92	DB09078
93	DB06148
94	DB02709
95	DB01073
96	DB11612
97	DB00764
98	DB09352
99	DB00293
100	DB08869
101	DB09061
102	DB04743
103	DB00678
104	DB06692
105	DB04619
106	DB09091
107	DB00687
108	DB04938
109	DB09272
110	DB00944
111	DB01028
112	DB09266
113	DB09536
114	DB09331
115	DB01046
116	DB00735
117	DB09123
118	DB00471
119	DB00705
120	DB00639
121	DB00432
122	DB04844
123	DB00007
124	DB06724
125	DB01106
126	DB01000
127	DB00984
128	DB02925
129	DB01211
130	DB00621
131	DB06193
132	DB00230
133	DB09026
134	DB00860
135	DB06715
136	DB05975
137	DB09113
138	DB08994
139	DB01016
140	DB05129
141	DB08938
142	DB00208
143	DB11544
144	DB08983
145	DB00720
146	DB00022
147	DB01556
148	DB11431
149	DB00333
150	DB00339
151	DB04934
152	DB03619
153	DB01608
154	DB01084
155	DB00798
156	DB01295
157	DB08813
158	DB05697
159	DB00670
160	DB01157
161	DB11467
162	DB01173
163	DB06695
164	DB00956
165	DB03856
166	DB00611
167	DB04258
168	DB09147
169	DB09000
170	DB00317
171	DB00256
172	DB00530
173	DB00279
174	DB00765
175	DB06741
176	DB04744
177	DB02539
178	DB08904
179	DB09027
180	DB00584
181	DB00198
182	DB08960
183	DB01109
184	DB00585
185	DB04872
186	DB00340
187	DB10675
188	DB00438
189	DB06663
190	DB01001
191	DB05903
192	DB00031
193	DB01222
194	DB01169
195	DB06777
196	DB01614
197	DB01209
198	DB08805
199	DB01611
200	DB01628
201	DB06819
202	DB00891
203	DB06708
204	DB06595
205	DB04905
206	DB09289
207	DB00959
208	DB00134
209	DB08958
210	DB00866
211	DB03625
212	DB00051
213	DB00608
214	DB11496
215	DB08972
216	DB00927
217	DB01645
218	DB11249
219	DB04908
220	DB01327
221	DB04832
222	DB00734
223	DB00753
224	DB09254
225	DB00869
226	DB00337
227	DB04557
228	DB00857
229	DB00503
230	DB00763
231	DB00175
232	DB02365
233	DB00923
234	DB09090
235	DB00270
236	DB00325
237	DB00846
238	DB01623
239	DB06243
240	DB06446
241	DB00662
242	DB00732
243	DB00095
244	DB09286
245	DB01380
246	DB01406
247	DB01120
248	DB04911
249	DB08798
250	DB00528
251	DB09167
252	DB01178
253	DB00688
254	DB11148
255	DB00498
256	DB04895
257	DB00083
258	DB00504
259	DB09293
260	DB01281
261	DB00907
262	DB01303
263	DB00936
264	DB09014
265	DB01319
266	DB08985
267	DB00555
268	DB08987
269	DB11122
270	DB04961
271	DB00274
272	DB01403
273	DB04812
274	DB00467
275	DB00823
276	DB00422
277	DB09204
278	DB00954
279	DB11478
280	DB05459
281	DB06370
282	DB09274
283	DB00679
284	DB09319
285	DB06401
286	DB08836
287	DB06709
288	DB00075
289	DB04855
290	DB01259
291	DB04575
292	DB00042
293	DB00195
294	DB06824
295	DB00586
296	DB00378
297	DB00602
298	DB01051
299	DB08918
300	DB00595
301	DB00661
302	DB00844
303	DB09275
304	DB00809
305	DB00903
306	DB01597
307	DB00187
308	DB04417
309	DB01087
310	DB11135
311	DB00319
312	DB01018
313	DB04836
314	DB00761
315	DB00526
316	DB08822
317	DB01553
318	DB08897
319	DB06790
320	DB00647
321	DB00188
322	DB01188
323	DB00356
324	DB00371
325	DB00888
326	DB01115
327	DB09238
328	DB00843
329	DB01548
330	DB04841
331	DB09075
332	DB09269
333	DB11235
334	DB00469
335	DB11574
336	DB09369
337	DB05229
338	DB00389
339	DB11555
340	DB03819
341	DB00794
342	DB04626
343	DB09038
344	DB01059
345	DB06273
346	DB05707
347	DB05829
348	DB08313
349	DB08916
350	DB01347
351	DB00992
352	DB00609
353	DB00681
354	DB01233
355	DB01590
356	DB11560
357	DB00472
358	DB01088
359	DB01511
360	DB00674
361	DB06704
362	DB00100
363	DB00669
364	DB01411
365	DB01129
366	DB00086
367	DB00254
368	DB06684
369	DB00537
370	DB09011
371	DB01337
372	DB08955
373	DB09009
374	DB00974
375	DB01620
376	DB09324
377	DB00773
378	DB00278
379	DB09057
380	DB11423
381	DB01245
382	DB09035
383	DB00205
384	DB01100
385	DB00741
386	DB00039
387	DB06655
388	DB09320
389	DB08962
390	DB00909
391	DB06700
392	DB02300
393	DB01076
394	DB00104
395	DB00315
396	DB02665
