index	UMLS_CUI	type	
0	C0960052	drug
1	C0976398	drug
2	C0712047	drug
3	C0982915	drug
4	C0973794	drug
5	C0709248	drug
6	C0016299	drug
7	C3529082	drug
8	C2348248	drug
9	C0022181	drug
10	C1532846	drug
11	C0978069	drug
12	C0773970	drug
13	C0791632	drug
14	C2370551	drug
15	C0981594	drug
16	C0005740	drug
17	C0028333	drug
18	C1615082	drug
19	C0980015	drug
20	C1874880	drug
21	C2722570	drug
22	C0752310	drug
23	C0352329	drug
24	C1591437	drug
25	C0907410	drug
26	C2266968	drug
27	C0027396	drug
28	C0974168	drug
29	C0977786	drug
30	C0981517	drug
31	C0975376	drug
32	C0688454	drug
33	C0977679	drug
34	C0282233	drug
35	C1700730	drug
36	C2702455	drug
37	C4048589	drug
38	C3475083	drug
39	C0981791	drug
40	C0980864	drug
41	C3888382	drug
42	C0023610	drug
43	C0980542	drug
44	C0714073	drug
45	C0379135	drug
46	C0775281	drug
47	C0286079	drug
48	C1579365	drug
49	C2700744	drug
50	C4049002	drug
51	C1168861	drug
52	C4282232	drug
53	C0047683	drug
54	C0688310	drug
55	C0875552	drug
56	C0782784	drug
57	C0981911	drug
58	C0702462	drug
59	C0002658	drug
60	C0979191	drug
61	C0979948	drug
62	C0978298	drug
63	C0070325	drug
64	C4083380	drug
65	C2746078	drug
66	C0022516	drug
67	C2974521	drug
68	C1724678	drug
69	C0700555	drug
70	C1276931	drug
71	C0700559	drug
72	C0982078	drug
73	C0776212	drug
74	C0358131	drug
75	C0689119	drug
76	C3536838	drug
77	C2365163	drug
78	C2700670	drug
79	C0691137	drug
80	C3848737	drug
81	C0974234	drug
82	C0690604	drug
83	C0981750	drug
84	C1177125	drug
85	C2918922	drug
86	C1614584	drug
87	C0304428	drug
88	C0981295	drug
89	C0982005	drug
90	C0110059	drug
91	C0976579	drug
92	C0973903	drug
93	C2930762	drug
94	C1163926	drug
95	C0939882	drug
96	C0692264	drug
97	C3536912	drug
98	C0977340	drug
99	C0974945	drug
100	C0010977	drug
101	C0724532	drug
102	C3473212	drug
103	C0936051	drug
104	C0977749	drug
105	C0022957	drug
106	C0977762	drug
107	C0980235	drug
108	C0691189	drug
109	C0981338	drug
110	C2732150	drug
111	C0709778	drug
112	C0980525	drug
113	C0982789	drug
114	C1877609	drug
115	C0039245	drug
116	C0704129	drug
117	C0033215	drug
118	C1165135	drug
119	C0974278	drug
120	C0978949	drug
121	C0688369	drug
122	C0700606	drug
123	C0718066	drug
124	C0009033	drug
125	C0690254	drug
126	C0982868	drug
127	C1164336	drug
128	C2720035	drug
129	C0979665	drug
130	C1177156	drug
131	C0355708	drug
132	C1572614	drug
133	C3853665	drug
134	C2718509	drug
135	C1586911	drug
136	C0205705	drug
137	C1164886	drug
138	C1572085	drug
139	C0975493	drug
140	C0066677	drug
141	C0982738	drug
142	C2917419	drug
143	C0127550	drug
144	C1629908	drug
145	C0691430	drug
146	C1813977	drug
147	C1338559	drug
148	C0977940	drug
149	C0710555	drug
150	C1875889	drug
151	C2940244	drug
152	C0782175	drug
153	C0872818	drug
154	C0976595	drug
155	C0977444	drug
156	C0937479	drug
157	C0709757	drug
158	C0015827	drug
